year,entidad,distrito,edo_dto,pp_gubernatura,PAN,PRI,PRD,PT,PVEM,MC,MORENA,f_rae,nep,volatilidad,,,
2018,chia,15,chia15,pvem,4.55%,10.48%,1.84%,3.84%,17.39%,2.43%,41.82%,0.77,4.4,,,,
2018,chia,16,chia16,pvem,5.37%,9.49%,4.39%,6.51%,10.32%,5.31%,30.12%,0.86,7,,,,
2018,chia,17,chia17,pvem,1.36%,20.49%,7.59%,11.69%,15.30%,1.36%,22.30%,0.85,6.8,,,,
2018,chia,18,chia18,pvem,3.31%,10.17%,1.46%,4.55%,15.49%,1.57%,40.13%,0.79,4.7,,,,
2018,chia,19,chia19,pvem,12.95%,18.82%,4.92%,7.92%,12.01%,5.29%,11.56%,0.9,9.7,,,,
2018,chia,20,chia20,pvem,1.17%,11.32%,22.91%,3.56%,24.38%,1.09%,15.51%,0.84,6.1,,,,
2018,chia,21,chia21,pvem,6.32%,22.54%,7.75%,5.59%,21.60%,3.73%,17.11%,0.85,6.8,,,,
2018,chia,22,chia22,pvem,0.59%,36.30%,2.40%,3.08%,13.74%,1.00%,33.70%,0.73,3.7,,,,
2018,chia,23,chia23,pvem,2.07%,16.28%,0.99%,4.09%,17.48%,2.61%,32.05%,0.82,5.6,,,,
2018,chia,24,chia24,pvem,5.38%,13.29%,1.89%,3.33%,12.64%,1.37%,40.28%,0.79,4.7,,,,
2024,chih,1,chih1,pan,22.34%,13.62%,3.50%,5.85%,4.04%,14.77%,32.88%,0.79,4.9,0.52,,,
2024,chih,2,chih2,pan,4.88%,4.34%,0.68%,4.53%,4.34%,5.72%,70.07%,0.5,2,0.68,,,
2024,chih,3,chih3,pan,7.90%,5.81%,0.82%,3.83%,5.52%,5.67%,64.65%,0.56,2.3,0.68,,,
2024,chih,4,chih4,pan,26.99%,9.45%,1.49%,3.59%,4.17%,6.56%,44.07%,0.72,3.5,0.5,,,
2024,chih,5,chih5,pan,34.35%,9.17%,1.36%,2.31%,3.58%,6.95%,38.04%,0.72,3.6,0.43,,,
2024,chih,6,chih6,pan,8.31%,5.98%,0.86%,5.56%,4.85%,6.36%,63.00%,0.58,2.4,0.66,,,
2024,chih,7,chih7,pan,10.25%,5.26%,0.92%,3.53%,5.07%,8.09%,61.79%,0.59,2.5,0.59,,,
2024,chih,8,chih8,pan,4.56%,3.27%,0.74%,3.17%,4.14%,6.21%,72.67%,0.46,1.9,0.67,,,
2024,chih,9,chih9,pan,8.03%,4.08%,0.70%,3.38%,4.24%,8.04%,64.90%,0.56,2.3,0.62,,,
2024,chih,10,chih10,pan,3.38%,2.92%,1.30%,3.88%,4.33%,4.79%,75.18%,0.43,1.7,0.67,,,
2024,chih,11,chih11,pan,27.91%,16.37%,3.02%,5.62%,5.84%,8.20%,28.41%,0.8,5,0.52,,,
2024,chih,12,chih12,pan,42.11%,8.44%,2.39%,1.69%,3.09%,7.26%,32.70%,0.7,3.3,0.38,,,
